composition,vec,deltachi,delta,deltahmix,deltasmix,phase,reference
AgAlCoCrCuNi,8.34,0.129,6.59,2.00,14.90,SS+IM,[1]
AlAuCoCrCuNi,8.34,0.303,6.53,-6.45,14.90,SS+IM,[1]
AlCoCrCu0.5Fe,7.00,0.117,5.87,-6.12,13.14,SS+IM,[2]
AlCoCrCuFe,7.40,0.118,5.58,-2.56,13.38,SS+IM,[3]
AlCoCrCuFeMnNi,7.72,0.140,5.18,-5.64,16.18,SS+IM,[4]
Al0.125CoCrCuFeMnNiTiV,7.43,0.148,5.59,-8.85,17.69,SS,[5]
Al0.25CoCrCuFeMnNiTiV,7.36,0.148,5.68,-9.52,17.89,SS,[5]
Al0.67CoCrCuFeMnNiTiV,7.15,0.147,5.90,-11.48,18.21,SS+IM,[5]
AlCoCrCuFeMo0.2Ni,7.77,0.133,5.30,-4.48,15.60,SS,[6]
Al0.25CoCrCu0.75FeNi,8.40,0.103,3.25,-0.71,14.32,SS,[7]
Al0.3CoCrCu0.5FeNi,8.21,0.106,3.58,-2.82,14.27,SS+IM,[8]
Al0.3CoCrCuFeNi,8.47,0.104,3.42,0.16,14.43,SS,[9]
Al0.5CoCrCu0.5FeNi,8.00,0.111,4.37,-4.60,14.53,SS,[2]
Al0.5CoCrCu0.5FeNi2,8.33,0.109,4.05,-5.19,13.94,SS+IM,[11]
Al0.5CoCrCuFeNi,8.27,0.109,4.17,-1.52,14.70,SS,[9]
Al0.75CoCrCu0.25FeNi,7.60,0.117,5.17,-8.47,14.32,SS,[7]
Al0.8CoCrCuFeNi,8.00,0.116,4.92,-3.61,14.87,SS,[23]
AlCo0.5CrCu0.5FeNi,7.40,0.122,5.71,-7.92,14.53,IM,[2]
AlCo0.5CrCuFeNi,7.73,0.122,5.45,-4.49,14.70,SS+IM,[17]
AlCoCr0.5Cu0.5FeNi,7.70,0.119,5.70,-8.32,14.53,SS+IM,[2]
AlCoCr0.5CuFeNi,8.00,0.116,5.44,-5.02,14.70,SS+IM,[17]
AlCoCrCu0.25FeNi,7.38,0.121,5.64,-9.94,14.34,SS,[24]
AlCoCrCu0.5Fe0.5Ni,7.50,0.125,5.66,-8.92,14.53,SS,[2]
AlCoCrCu0.5FeNi,7.54,0.120,5.51,-7.93,14.70,SS+IM,[17]
AlCoCrCu0.5FeNi1.5,7.75,0.120,5.35,-8.28,14.53,SS,[2]
AlCoCrCu0.5FeNi2,7.92,0.119,5.20,-8.42,14.23,SS,[2]
AlCoCrCu0.5FeNi2.5,8.07,0.118,5.06,-8.45,13.87,SS+IM,[2]
AlCoCrCu0.5FeNi3,8.20,0.116,4.93,-8.39,13.48,IM,[2]
AlCoCrCu0.5Fe1.5Ni,7.58,0.116,5.37,-7.14,14.53,SS+IM,[2]
AlCoCrCu0.5Fe2Ni,7.61,0.112,5.24,-6.48,14.23,SS+IM,[2]
AlCoCrCuFe0.5Ni,7.82,0.124,5.40,-5.55,14.70,SS+IM,[17]
AlCoCrCuFeNi0.5,7.64,0.119,5.43,-3.90,14.70,SS+IM,[17]
AlCoCrCuFeNi,7.83,0.119,5.28,-4.78,14.90,SS+IM,[9]
AlCoCr1.5Cu0.5FeNi,7.42,0.120,5.34,-7.56,14.53,SS,[2]
AlCoCr2Cu0.5FeNi,7.31,0.120,5.18,-7.19,14.23,SS+IM,[2]
AlCo1.5CrCu0.5FeNi,7.67,0.118,5.33,-7.84,14.53,SS+IM,[2]
AlCo2CrCu0.5FeNi,7.77,0.115,5.17,-7.67,14.23,SS,[2]
AlCo3CrCu0.5FeNi,7.93,0.110,4.88,-7.25,13.48,SS,[2]
AlCo3.5CrCu0.5FeNi,8.00,0.108,4.75,-7.03,13.09,SS,[2]
Al1.3CoCrCuFeNi,7.60,0.123,5.69,-6.24,14.85,SS+IM,[9]
Al1.4Co0.9Cr1.4Cu0.5Fe0.9Ni,7.11,0.125,5.95,-9.53,14.48,SS+IM,[11]
Al1.5CoCrCu0.5FeNi,7.17,0.125,6.11,-10.14,14.53,IM,[2]
Al1.5CoCrCuFeNi,7.46,0.125,5.89,-7.05,14.78,SS+IM,[9]
Al1.8CoCrCuFeNi,7.27,0.127,6.13,-8.08,14.65,SS+IM,[9]
Al2CoCrCu0.5FeNi,6.84,0.128,6.46,-11.59,14.23,IM,[2]
Al2CoCrCuFeNi,7.14,0.128,6.26,-8.65,14.53,SS+IM,[9]
Al2.3CoCrCuFeNi,6.97,0.130,6.40,-9.38,14.35,SS+IM,[9]
Al2.5CoCrCuFeNi,6.87,0.130,6.48,-9.77,14.21,SS+IM,[9]
Al2.8CoCrCuFeNi,6.72,0.131,6.57,-10.28,14.00,IM,[9]
Al3CoCrCuFeNi,6.63,0.131,6.61,-10.56,13.86,IM,[9]
AlCoCrCu0.5FeNiSi,7.00,0.118,6.36,-22.57,16.00,SS,[32]
AlCoCrCuFeNiSi,7.29,0.116,6.12,-18.87,16.18,SS,[25]
Al0.25CoCrCu0.75FeNiTi0.5,8.00,0.127,5.46,-7.28,15.55,SS,[33]
Al0.5CoCrCu0.5FeNiTi0.5,7.64,0.131,5.97,-10.84,15.74,SS,[33]
Al0.5CoCrCuFeNiTi0.2,8.12,0.119,4.93,-4.15,15.44,SS,[15]
Al0.5CoCrCuFeNiTi0.4,7.98,0.126,5.49,-6.42,15.76,SS,[15]
Al0.5CoCrCuFeNiTi0.6,7.85,0.132,5.92,-8.40,15.92,SS,[15]
Al0.5CoCrCuFeNiTi0.8,7.73,0.137,6.26,-10.11,15.99,SS+IM,[15]
Al0.5CoCrCuFeNiTi,7.61,0.141,6.54,-11.59,16.00,SS+IM,[15]
Al0.5CoCrCuFeNiTi1.2,7.51,0.145,6.76,-12.89,15.97,SS+IM,[15]
Al0.5CoCrCuFeNiTi1.4,7.40,0.148,6.94,-14.02,15.91,SS+IM,[15]
Al0.5CoCrCuFeNiTi1.6,7.31,0.150,7.09,-15.00,15.82,SS+IM,[15]
Al0.5CoCrCuFeNiTi1.8,7.22,0.152,7.21,-15.86,15.72,SS+IM,[15]
Al0.5CoCrCuFeNiTi2.0,7.13,0.154,7.31,-16.61,15.60,SS+IM,[15]
Al0.75CoCrCu0.25FeNiTi0.5,7.27,0.133,6.38,-14.39,15.55,SS,[33]
AlCoCrCu0.25FeNiTi0.5,7.09,0.134,6.58,-15.50,15.55,SS,[34]
AlCoCrCu0.5FeNiTi0.5,7.25,0.134,6.46,-13.42,15.86,SS,[34]
AlCoCrCuFeNiTi,7.29,0.143,6.78,-13.80,16.18,SS+IM,[4]
Al0.125CoCrCuFeNiTiMnV,7.43,0.148,5.59,-8.85,17.69,SS,[5]
Al0.25CoCrCuFeNiTiMnV,7.36,0.148,5.68,-9.52,17.89,SS,[5]
