vec,deltachi,delta,deltahmix,deltasmix,phase
7.23,0.146,5.51,-9.7,14.23,SS+IM
6.72,0.131,6.57,-10.28,14.0,IM
8.2,0.136,3.15,4.16,13.38,SS
7.46,0.125,5.89,-7.05,14.78,SS+IM
7.78,0.124,5.5,-4.91,13.3,SS+IM
7.2,0.159,7.49,-15.64,14.21,IM
7.85,0.132,5.92,-8.4,15.92,SS
6.57,0.23199999999999998,13.58,-19.36,16.18,SS+IM
7.08,0.121,6.02,-16.39,14.22,SS
8.8,0.092,1.03,3.2,13.38,SS
7.85,0.139,3.91,-5.85,14.12,SS+IM
9.44,0.032,3.1,5.04,11.87,SS+IM
8.0,0.111,4.37,-4.6,14.53,SS
7.5,0.131,3.6,-2.13,10.98,SS+IM
5.4,0.34299999999999997,3.15,-4.64,13.38,SS
7.69,0.124,5.56,-4.5,13.36,SS+IM
8.54,0.077,3.94,-6.06,10.69,SS
7.77,0.121,4.04,-5.25,16.0,SS+IM
3.7,0.16699999999999998,3.85,-1.14,6.47,SS+IM
7.98,0.138,3.36,-4.38,13.54,SS
7.92,0.14300000000000002,4.96,-1.74,14.73,SS
7.09,0.149,7.1,-15.4,14.7,SS+IM
7.73,0.122,5.45,-4.49,14.7,SS+IM
7.75,0.12,5.35,-8.28,14.53,SS
7.42,0.12,5.34,-7.56,14.53,SS
7.16,0.122,5.92,-13.32,13.92,SS+IM
6.83,0.13,6.47,-7.67,12.98,SS+IM
7.33,0.156,3.1,-15.17,14.9,SS
7.91,0.14300000000000002,4.66,-1.92,14.7,SS
7.36,0.14800000000000002,5.68,-9.52,17.89,SS
8.21,0.106,3.58,-2.82,14.27,SS+IM
7.67,0.05,0.78,-12.44,9.13,SS
7.7,0.12,5.38,-11.94,12.91,SS+IM
3.8,0.163,10.95,-14.88,13.38,IM
7.4,0.124,3.89,-7.08,15.6,SS
8.33,0.111,0.16,-4.89,9.13,SS
8.25,0.09699999999999999,0.3,-3.75,11.53,SS
7.86,0.139,3.88,-5.75,14.09,SS+IM
6.67,0.141,7.22,-21.56,14.9,SS+IM
5.63,0.20600000000000002,10.44,-21.13,13.86,IM
7.19,0.13,4.7,-5.51,12.32,SS
7.0,0.149,6.59,-13.28,13.38,SS+IM
6.46,0.125,6.03,-11.29,12.94,SS
8.0,0.15,3.45,-5.5,11.53,SS
8.07,0.11800000000000001,5.06,-8.45,13.87,SS+IM
7.91,0.125,5.34,-12.4,13.67,SS
5.92,0.165,8.47,-14.74,14.15,IM
8.11,0.11599999999999999,4.53,-0.59,13.14,SS
7.44,0.131,5.81,-10.17,13.14,SS+IM
7.92,0.139,3.62,-5.03,13.84,SS
7.14,0.128,6.26,-8.65,14.53,SS+IM
8.09,0.115,7.79,-4.0,15.44,SS+IM
6.97,0.13,6.4,-9.38,14.35,SS+IM
8.67,0.163,3.73,-5.78,9.13,SS
8.4,0.142,3.2,2.72,13.38,SS
7.6,0.11699999999999999,5.17,-8.47,14.32,SS
7.61,0.141,6.54,-11.59,16.0,SS+IM
8.0,0.139,6.16,-8.44,9.13,SS+IM
7.75,0.138,6.25,-15.61,13.21,SS+IM
7.51,0.145,6.76,-12.89,15.97,SS+IM
4.78,0.29,6.55,-2.67,13.14,SS
7.6,0.12300000000000001,5.69,-6.24,14.85,SS+IM
8.63,0.135,2.7,3.25,12.97,SS
7.92,0.11900000000000001,5.2,-8.42,14.23,SS
8.0,0.12300000000000001,5.32,-5.78,12.98,SS
7.8,0.13,5.52,-6.56,13.38,SS
7.31,0.15,7.09,-15.0,15.82,SS+IM
7.29,0.11599999999999999,6.12,-18.87,16.18,SS
8.77,0.10400000000000001,2.94,0.12,12.01,SS
8.47,0.10400000000000001,3.42,0.16,14.43,SS
7.4,0.122,5.71,-7.92,14.53,IM
7.29,0.14300000000000002,6.78,-13.8,16.18,SS+IM
8.33,0.10400000000000001,5.27,-5.22,12.98,SS+IM
8.29,0.032,2.66,-19.43,11.24,SS+IM
7.88,0.139,3.77,-5.45,13.99,SS+IM
7.43,0.14800000000000002,5.59,-8.85,17.69,SS
6.95,0.133,4.84,-10.15,15.83,IM
7.72,0.14,5.18,-5.64,16.18,SS+IM
4.32,0.11599999999999999,4.92,-6.33,14.5,SS
7.76,0.139,4.2,-6.71,14.34,SS+IM
7.33,0.275,10.85,-15.78,14.9,IM
8.4,0.139,6.5,-11.04,13.38,SS
8.81,0.135,6.03,1.83,14.22,SS+IM
3.0,0.055999999999999994,1.37,0.0,13.38,SS
4.3,0.1,4.93,-8.62,13.78,SS
6.06,0.192,9.67,-19.49,14.85,IM
6.4,0.259,10.24,-23.52,13.38,SS
7.47,0.11599999999999999,5.18,-10.58,13.31,SS+IM
7.91,0.139,3.66,-5.14,13.88,SS+IM
7.28,0.13,6.16,-15.07,14.5,SS
6.75,0.122,6.26,-13.25,11.53,SS+IM
4.82,0.262,7.01,-2.71,13.25,SS
6.92,0.141,6.91,-12.25,14.78,SS+IM
7.93,0.11,4.88,-7.25,13.48,SS
6.92,0.156,5.45,-10.27,14.23,IM
7.0,0.126,6.33,-16.53,14.7,SS+IM
7.08,0.133,6.54,-17.17,14.53,SS
7.18,0.131,5.78,-12.14,13.92,SS
8.0,0.031,3.05,-24.96,11.47,SS+IM
6.38,0.14,7.29,-22.71,14.78,SS+IM
8.26,0.14300000000000002,3.72,-3.58,10.79,SS
7.0,0.11699999999999999,5.87,-6.12,13.14,SS+IM
7.89,0.139,3.73,-5.35,13.96,SS+IM
7.77,0.11,4.22,-8.22,13.01,SS
7.54,0.12,5.51,-7.93,14.7,SS+IM
7.4,0.11800000000000001,5.58,-2.56,13.38,SS+IM
4.2,0.081,3.48,-15.12,12.51,SS
6.23,0.191,9.45,-19.64,14.83,IM
7.58,0.11599999999999999,5.37,-7.14,14.53,SS+IM
8.92,0.135,4.61,1.79,13.84,SS+IM
4.4,0.048,3.57,-13.44,13.38,SS
7.67,0.113,4.6,-9.08,13.14,SS
8.07,0.136,3.17,-4.12,13.3,SS
4.6,0.228,8.68,-34.08,13.38,IM
7.63,0.13,5.61,-12.25,12.97,SS+IM
7.04,0.12300000000000001,6.06,-13.23,13.36,SS+IM
7.46,0.129,14.1,-11.02,16.0,IM
8.95,0.135,4.15,1.78,13.71,SS+IM
7.6,0.139,6.46,-16.96,13.97,SS+IM
7.5,0.141,5.49,-12.0,14.9,SS
6.71,0.131,6.55,-8.1,12.84,SS+IM
7.96,0.11699999999999999,4.36,-8.9,12.83,SS+IM
6.62,0.126,6.58,-15.05,13.1,SS+IM
8.6,0.175,4.04,-5.6,13.38,SS
7.17,0.151,6.9,-16.67,14.9,SS
6.67,0.11900000000000001,6.61,-27.34,14.9,SS+IM
8.2,0.111,5.61,-5.28,13.38,SS+IM
7.8,0.10800000000000001,0.28,-4.32,11.08,SS+IM
7.17,0.152,5.63,-10.5,14.53,SS+IM
8.25,0.125,5.85,-8.0,11.53,SS
7.53,0.124,3.95,-6.5,15.82,SS
8.48,0.10800000000000001,3.21,2.31,12.57,SS
7.95,0.11800000000000001,4.09,-4.08,15.92,SS+IM
7.11,0.125,5.95,-9.53,14.48,SS+IM
4.75,0.124,8.78,-5.0,11.53,SS+IM
4.8,0.275,6.85,-2.72,13.38,SS
8.25,0.044000000000000004,1.08,-8.75,11.53,SS
6.46,0.146,7.5,-23.9,14.78,SS+IM
6.0,0.205,11.5,-24.9,14.9,IM
7.89,0.10800000000000001,3.76,-7.27,12.83,SS+IM
8.0,0.11599999999999999,5.44,-5.02,14.7,SS+IM
4.79,0.282,6.73,-2.7,13.33,SS
8.34,0.303,6.53,-6.45,14.9,SS+IM
6.17,0.18600000000000003,9.27,-18.67,14.9,IM
9.0,0.135,3.18,1.76,13.38,SS
7.24,0.10300000000000001,4.28,-6.52,10.18,IM
8.25,0.147,3.32,4.5,12.97,SS
7.5,0.138,4.05,-0.96,9.92,SS
7.08,0.19,9.67,-18.14,14.22,SS+IM
7.31,0.12,5.18,-7.19,14.23,SS+IM
9.41,0.032,3.94,5.07,12.05,SS+IM
4.5,0.11699999999999999,7.05,-0.25,11.53,SS
7.36,0.14800000000000002,5.68,-9.52,17.89,SS
6.68,0.222,12.88,-19.0,16.16,SS+IM
7.87,0.139,3.84,-5.65,14.06,SS+IM
7.11,0.153,5.76,-11.61,14.59,SS+IM
8.9,0.135,4.89,1.8,13.92,SS+IM
4.34,0.10300000000000001,4.84,-4.41,12.63,SS
7.5,0.124,5.69,-3.4,13.35,SS+IM
9.37,0.033,4.61,5.09,12.2,SS+IM
7.5,0.14300000000000002,5.39,-5.11,14.9,SS
8.02,0.109,3.74,-8.42,12.84,SS+IM
6.14,0.138,7.3,-23.36,14.53,SS+IM
6.96,0.12,6.21,-19.84,14.59,SS
6.8,0.14300000000000002,5.56,-15.96,15.69,SS
5.96,0.168,8.6,-15.35,14.35,IM
8.4,0.10300000000000001,3.25,-0.71,14.32,SS
7.53,0.11199999999999999,3.41,-6.92,12.26,SS+IM
6.2,0.248,10.43,-15.84,13.38,SS
7.69,0.122,4.01,-5.73,15.97,SS
7.65,0.14300000000000002,5.15,-3.97,14.87,SS
6.86,0.12,6.37,-22.76,14.78,SS+IM
8.12,0.11900000000000001,4.93,-4.15,15.44,SS
7.7,0.11900000000000001,5.7,-8.32,14.53,SS+IM
7.14,0.16,8.01,-15.35,13.92,SS+IM
7.5,0.105,6.58,-20.45,14.9,SS
8.33,0.13,2.57,-4.84,12.66,SS
7.84,0.126,5.6,-6.78,13.02,SS
8.43,0.155,3.57,-0.49,12.89,SS
7.6,0.147,5.06,-4.23,14.73,SS
7.8,0.11,4.12,-7.99,12.97,SS
3.69,0.309,7.7,-3.65,12.31,SS+IM
7.83,0.139,3.98,-6.05,14.17,SS+IM
8.05,0.11900000000000001,5.92,-4.94,12.57,SS+IM
4.8,0.11800000000000001,8.68,-4.64,13.38,SS+IM
6.36,0.192,9.51,-18.57,14.7,IM
4.6,0.113,7.48,-1.28,11.08,SS
7.0,0.12300000000000001,6.12,-13.43,13.35,IM
4.34,0.107,5.3,-4.86,13.46,SS
8.17,0.10099999999999999,2.3,-5.47,12.21,SS+IM
8.36,0.11599999999999999,4.49,-3.26,12.72,SS
8.56,0.11,3.86,-1.7,12.45,SS
6.23,0.127,6.84,-16.09,12.63,IM
7.86,0.156,3.5,-4.58,13.36,SS+IM
7.38,0.14800000000000002,5.44,-10.69,14.23,SS+IM
7.37,0.11800000000000001,5.41,-11.21,13.35,SS+IM
8.0,0.10400000000000001,0.27,-4.44,9.13,SS
4.76,0.298,6.32,-2.6,12.71,SS
7.73,0.13699999999999998,6.26,-10.11,15.99,SS+IM
7.68,0.139,5.08,-3.31,14.73,SS
7.92,0.152,5.09,-10.25,14.17,SS+IM
5.71,0.205,10.38,-21.06,14.15,IM
7.13,0.154,7.31,-16.61,15.6,SS+IM
7.15,0.147,5.9,-11.48,18.21,SS
9.43,0.032,3.4,5.05,11.93,SS+IM
7.83,0.163,5.17,-9.96,14.39,SS+IM
